Probe	Chr	StartPos	STRName	Strand
1	1	1585213	trf892	M
2	1	1585490	trf892	P
3	1	1840420	trf1009_trf1010	M
4	1	1840818	trf1009_trf1010	P
5	1	2837681	trf1591	M
6	1	2837928	trf1591	P
7	1	3584976	trf2094	M
8	1	3585230	trf2094	P
9	1	4480228	trf2469	M
10	1	4480492	trf2469	P
11	1	4731469	trf2596	M
12	1	4731729	trf2596	P
13	1	4731732	trf2596	P
14	1	5488727	trf2934	M
15	1	5488741	trf2934	M
16	1	5488983	trf2934	P
17	1	5489050	trf2934	P
18	1	7442721	D1GATA113	M
19	1	7442983	D1GATA113	P
20	1	10987412	trf5611	M
21	1	10987672	trf5611	P
22	1	14108581	PRDM2	M
23	1	14108841	PRDM2	P
24	1	14464394	trf6913	M
25	1	14464654	trf6913	P
26	1	17649668	trf8054	M
27	1	17649928	trf8054	P
28	1	18361822	trf8332	M
29	1	18362080	trf8332	P
30	1	20510609	trf9119	M
31	1	20510869	trf9119	P
32	1	21021385	trf9315	M
33	1	21021644	trf9315	P
34	1	23239823	EPHB2	M
35	1	23240058	EPHB2	P
36	1	24078259	TCEB3	M
37	1	24078512	TCEB3	P
38	1	25190602	trf11161	M
39	1	25190862	trf11161	P
40	1	27620956	WDTC1	M
41	1	27621211	WDTC1	P
42	1	30310849	trf13275	M
43	1	30311107	trf13275	P
44	1	31857575	trf13963	M
45	1	31857964	trf13963	P
46	1	32826276	trf14366	M
47	1	32826549	trf14366	P
48	1	37150417	trf15933	M
49	1	37150708	trf15933	P
50	1	37154412	trf15940	M
51	1	37154673	trf15940	P
52	1	37154680	trf15940	P
53	1	38235579	trf16297	M
54	1	38235884	trf16297	P
55	1	38454337	trf16385	M
56	1	38454599	trf16385	P
57	1	43378884	trf18050	M
58	1	43379165	trf18050	P
59	1	46256103	trf19018	M
60	1	46256381	trf19018	P
61	1	51639482	trf20545	M
62	1	51639742	trf20545	P
63	1	53639258	trf21296_trf21297_trf21298_trf21299	M
64	1	53639523	trf21296_trf21297_trf21298_trf21299	P
65	1	54705573	trf21631_trf21632_trf21633	M
66	1	54705833	trf21631_trf21632_trf21633	P
67	1	59116936	trf22833	M
68	1	59117202	trf22833	P
69	1	59730342	trf23011	M
70	1	59730467	trf23011	P
71	1	59948098	trf23067	M
72	1	59948375	trf23067	P
73	1	61792539	trf23537	M
74	1	61792801	trf23537	P
75	1	63316359	trf24054	M
76	1	63316626	trf24054	P
77	1	64304876	trf24353	M
78	1	64305136	trf24353	P
79	1	64311664	trf24355	M
80	1	64311923	trf24355	P
81	1	68596529	trf25500	M
82	1	68596913	trf25500	P
83	1	69056476	trf25632	M
84	1	69056733	trf25632	P
85	1	73556724	trf26854	M
86	1	73556996	trf26854	P
87	1	74184418	trf27031_trf27032	M
88	1	74184551	trf27031_trf27032	P
89	1	75213342	trf27284	M
90	1	75213649	trf27284	P
91	1	77856957	trf27916	M
92	1	77857217	trf27916	P
93	1	79792830	trf28466	M
94	1	79793100	trf28466	P
95	1	80293909	trf28608	M
96	1	80294206	trf28608	P
97	1	82157484	trf29127	M
98	1	82157742	trf29127	P
99	1	82895294	trf29319	M
100	1	82895494	trf29319	P
101	1	85316680	trf29918	M
102	1	85316955	trf29918	P
103	1	86462588	trf30242	M
104	1	86462848	trf30242	P
105	1	86465688	trf30244	M
106	1	86465951	trf30244	P
107	1	93286720	trf32061	M
108	1	93287113	trf32061	P
109	1	95745533	trf32670	M
110	1	95745793	trf32670	P
111	1	97212302	trf33018_trf33019	M
112	1	97212569	trf33018_trf33019	P
113	1	101987021	trf34298	M
114	1	101987282	trf34298	P
115	1	102358607	nc-HEJ1	M
116	1	102358867	nc-HEJ1	P
117	1	106072246	trf35456	M
118	1	106072510	trf35456	P
119	1	106076074	trf35458	M
120	1	106076294	trf35458	P
121	1	106281499	trf35518	M
122	1	106281649	trf35518	P
123	1	106963638	trf35734_D1S1627	M
124	1	106963900	trf35734_D1S1627	P
125	1	107075682	trf35779	M
126	1	107075940	trf35779	P
127	1	108243810	trf36078	M
128	1	108244073	trf36078	P
129	1	109764377	trf36548	M
130	1	109764798	trf36548	P
131	1	112049395	trf37077_trf37078_trf37080	M
